,2024-05-31,2023-05-31,2022-05-31,2021-05-31
Treasury Shares Number,3622815.0,1492415.0,1492158.0,1491810.0
Ordinary Shares Number,14324011.0,16454411.0,16454668.0,16455016.0
Share Issued,17946826.0,17946826.0,17946826.0,17946826.0
Net Debt,10080000000.0,8450000000.0,1771000000.0,
Total Debt,19326000000.0,18501000000.0,9767000000.0,9293000000.0
Tangible Book Value,30810000000.0,32595000000.0,31069000000.0,28389000000.0
Invested Capital,52765000000.0,52276000000.0,42006000000.0,39517000000.0
Working Capital,29222000000.0,32422000000.0,29376000000.0,23009000000.0
Net Tangible Assets,30810000000.0,32595000000.0,31069000000.0,28389000000.0
Common Stock Equity,33439000000.0,33775000000.0,32239000000.0,30224000000.0
Total Capitalization,36654000000.0,37997000000.0,36439000000.0,31224000000.0
Total Equity Gross Minority Interest,34854000000.0,34944000000.0,32455000000.0,30371000000.0
Minority Interest,1415000000.0,1169000000.0,216000000.0,147000000.0
Stockholders Equity,33439000000.0,33775000000.0,32239000000.0,30224000000.0
Fixed Assets Revaluation Reserve,22000000.0,22000000.0,22000000.0,58000000.0
Treasury Stock,4940000000.0,1761000000.0,1725000000.0,1724000000.0
Retained Earnings,27288000000.0,26322000000.0,25229000000.0,23947000000.0
Additional Paid In Capital,3447000000.0,3447000000.0,3558000000.0,3615000000.0
Capital Stock,2611000000.0,2611000000.0,2611000000.0,2611000000.0
Common Stock,2611000000.0,2611000000.0,2611000000.0,2611000000.0
Total Liabilities Net Minority Interest,48640000000.0,46612000000.0,42037000000.0,32845000000.0
Total Non Current Liabilities Net Minority Interest,5170000000.0,6062000000.0,6066000000.0,3476000000.0
Other Non Current Liabilities,324000000.0,380000000.0,452000000.0,524000000.0
Non Current Pension And Other Postretirement Benefit Plans,1467000000.0,1431000000.0,1389000000.0,1353000000.0
Non Current Deferred Taxes Liabilities,164000000.0,29000000.0,25000000.0,599000000.0
Long Term Debt And Capital Lease Obligation,3215000000.0,4222000000.0,4200000000.0,1000000000.0
Long Term Debt,3215000000.0,4222000000.0,4200000000.0,1000000000.0
Current Liabilities,43470000000.0,40550000000.0,35971000000.0,29369000000.0
Other Current Liabilities,6897000000.0,7428000000.0,6107000000.0,5681000000.0
Current Debt And Capital Lease Obligation,16111000000.0,14279000000.0,5567000000.0,8293000000.0
Current Debt,16111000000.0,14279000000.0,5567000000.0,8293000000.0
Payables,19251000000.0,17825000000.0,23360000000.0,14609000000.0
Total Tax Payable,793000000.0,713000000.0,438000000.0,222000000.0
Accounts Payable,18458000000.0,17112000000.0,22922000000.0,14387000000.0
Total Assets,83494000000.0,81556000000.0,74492000000.0,63216000000.0
Total Non Current Assets,10799000000.0,8583000000.0,9142000000.0,10837000000.0
Other Non Current Assets,332000000.0,344000000.0,311000000.0,304000000.0
Non Current Deferred Taxes Assets,423000000.0,633000000.0,132000000.0,231000000.0
Investmentin Financial Assets,4344000000.0,3421000000.0,4407000000.0,4312000000.0
Available For Sale Securities,4344000000.0,3421000000.0,4407000000.0,4312000000.0
Goodwill And Other Intangible Assets,2629000000.0,1180000000.0,1170000000.0,1835000000.0
Other Intangible Assets,231000000.0,688000000.0,1170000000.0,
Goodwill,2398000000.0,492000000.0,0.0,
Net PPE,3071000000.0,3005000000.0,3122000000.0,4155000000.0
Accumulated Depreciation,-2333000000.0,-3578000000.0,-3443000000.0,-3400000000.0
Gross PPE,5404000000.0,6583000000.0,6565000000.0,7555000000.0
Other Properties,2319000000.0,2395000000.0,1970000000.0,2586000000.0
Buildings And Improvements,2298000000.0,3338000000.0,3611000000.0,3828000000.0
Land And Improvements,787000000.0,850000000.0,984000000.0,1141000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,72692000000.0,72972000000.0,65347000000.0,52378000000.0
Other Current Assets,10934000000.0,9838000000.0,9426000000.0,6401000000.0
Inventory,16823000000.0,21600000000.0,19740000000.0,11505000000.0
Finished Goods,16034000000.0,20628000000.0,18646000000.0,10098000000.0
Work In Process,300000000.0,446000000.0,240000000.0,200000000.0
Raw Materials,489000000.0,526000000.0,854000000.0,1207000000.0
Accounts Receivable,35689000000.0,31483000000.0,28185000000.0,25069000000.0
Gross Accounts Receivable,35689000000.0,31483000000.0,28185000000.0,25069000000.0
Cash Cash Equivalents And Short Term Investments,9246000000.0,10051000000.0,7996000000.0,9403000000.0
Cash And Cash Equivalents,9246000000.0,10051000000.0,7996000000.0,9403000000.0
