,2024-05-31,2023-05-31,2022-05-31,2021-05-31
Free Cash Flow,4770000000.0,-5292000000.0,-1635000000.0,4365000000.0
Repurchase Of Capital Stock,-3178000000.0,-620000000.0,0.0,
Repayment Of Debt,,-14000000.0,-1900000000.0,-1300000000.0
Issuance Of Debt,,0.0,3200000000.0,
Issuance Of Capital Stock,0.0,619000000.0,0.0,
Capital Expenditure,-555000000.0,-403000000.0,-222000000.0,-190000000.0
End Cash Position,9243000000.0,10023000000.0,7996000000.0,9403000000.0
Other Cash Adjustment Outside Changein Cash,,-1000000.0,1000000.0,
Beginning Cash Position,10023000000.0,7996000000.0,9403000000.0,7727000000.0
Effect Of Exchange Rate Changes,471000000.0,301000000.0,358000000.0,143000000.0
Changes In Cash,-1251000000.0,1727000000.0,-1766000000.0,1533000000.0
Financing Cash Flow,-4519000000.0,6629000000.0,-855000000.0,-2864000000.0
Net Other Financing Charges,-88000000.0,-204000000.0,-188000000.0,-122000000.0
Cash Dividends Paid,-1215000000.0,-1160000000.0,-591000000.0,-526000000.0
Net Common Stock Issuance,-3178000000.0,-1000000.0,0.0,
Common Stock Payments,-3178000000.0,-620000000.0,0.0,
Common Stock Issuance,0.0,619000000.0,0.0,
Net Issuance Payments Of Debt,-38000000.0,7994000000.0,-76000000.0,-2216000000.0
Net Short Term Debt Issuance,-38000000.0,7994000000.0,-1376000000.0,-916000000.0
Net Long Term Debt Issuance,,-14000000.0,1300000000.0,-1300000000.0
Long Term Debt Payments,,-14000000.0,-1900000000.0,-1300000000.0
Long Term Debt Issuance,,0.0,3200000000.0,
Investing Cash Flow,-2057000000.0,-13000000.0,502000000.0,-158000000.0
Net Other Investing Changes,64000000.0,,39000000.0,118000000.0
Net Investment Purchase And Sale,-102000000.0,790000000.0,-532000000.0,-88000000.0
Sale Of Investment,31000000.0,838000000.0,48000000.0,24000000.0
Purchase Of Investment,-133000000.0,-48000000.0,-580000000.0,-88000000.0
Net Business Purchase And Sale,-1955000000.0,-460000000.0,0.0,
Purchase Of Business,-1955000000.0,-460000000.0,0.0,
Net Intangibles Purchase And Sale,125000000.0,-169000000.0,-85000000.0,-55000000.0
Sale Of Intangibles,375000000.0,0.0,,
Purchase Of Intangibles,-250000000.0,-169000000.0,-85000000.0,-55000000.0
Net PPE Purchase And Sale,-189000000.0,-174000000.0,1080000000.0,-133000000.0
Sale Of PPE,116000000.0,60000000.0,1217000000.0,2000000.0
Purchase Of PPE,-305000000.0,-234000000.0,-137000000.0,-135000000.0
Operating Cash Flow,5325000000.0,-4889000000.0,-1413000000.0,4555000000.0
Taxes Refund Paid,-1051000000.0,-502000000.0,93000000.0,-579000000.0
Interest Received Cfo,178000000.0,109000000.0,69000000.0,52000000.0
Interest Paid Cfo,-502000000.0,-301000000.0,-80000000.0,-76000000.0
Change In Working Capital,1479000000.0,-6873000000.0,-4513000000.0,4236000000.0
Change In Other Current Liabilities,,,,-129000000.0
Change In Payable,-477000000.0,-6181000000.0,668000000.0,1807000000.0
Change In Prepaid Assets,-1679000000.0,1245000000.0,3874000000.0,1148000000.0
Change In Inventory,5770000000.0,-450000000.0,-7348000000.0,1424000000.0
Change In Receivables,-2155000000.0,-1516000000.0,-1747000000.0,-18000000.0
Other Non Cash Items,1006000000.0,-714000000.0,-162000000.0,70000000.0
Depreciation And Amortization,562000000.0,604000000.0,580000000.0,499000000.0
Depreciation,562000000.0,604000000.0,580000000.0,499000000.0
Gain Loss On Investment Securities,53000000.0,-652000000.0,-27000000.0,-52000000.0
Gain Loss On Sale Of PPE,-73000000.0,-7000000.0,-1090000000.0,-1000000.0
Net Income From Continuing Operations,3496000000.0,2757000000.0,2130000000.0,742000000.0
