,2024-05-31,2023-05-31,2022-05-31,2021-05-31
Tax Effect Of Unusual Items,-52438000.0,-15620000.0,-46256000.0,-117946091.644205
Tax Rate For Calcs,0.334,0.142,0.098,0.297844
Normalized EBITDA,4713000000.0,3774000000.0,3265000000.0,1708000000.0
Total Unusual Items,-157000000.0,-110000000.0,-472000000.0,-396000000.0
Total Unusual Items Excluding Goodwill,-157000000.0,-110000000.0,-472000000.0,-396000000.0
Net Income From Continuing Operation Net Minority Interest,2156000000.0,2257000000.0,1908000000.0,520000000.0
Reconciled Depreciation,562000000.0,604000000.0,580000000.0,499000000.0
Reconciled Cost Of Revenue,132365000000.0,132775000000.0,114161000000.0,96738000000.0
EBITDA,4556000000.0,3664000000.0,2793000000.0,1312000000.0
EBIT,3994000000.0,3060000000.0,2213000000.0,813000000.0
Net Interest Income,-403000000.0,-283000000.0,-79000000.0,-68000000.0
Interest Expense,498000000.0,303000000.0,83000000.0,71000000.0
Interest Income,95000000.0,20000000.0,4000000.0,3000000.0
Normalized Income,2260562000.0,2351380000.0,2333744000.0,798053908.355795
Net Income From Continuing And Discontinued Operation,2156000000.0,2257000000.0,1908000000.0,520000000.0
Total Expenses,143354000000.0,142542000000.0,123242000000.0,104939000000.0
Rent Expense Supplemental,349000000.0,326000000.0,343000000.0,371000000.0
Total Operating Income As Reported,4755000000.0,3791000000.0,2602000000.0,899000000.0
Diluted Average Shares,,16454000.0,16454000.0,16455000.0
Basic Average Shares,,16454000.0,16454000.0,16455000.0
Diluted EPS,,137.22,115.96,31.63
Basic EPS,,137.22,115.96,31.63
Diluted NI Availto Com Stockholders,2156000000.0,2257000000.0,1908000000.0,520000000.0
Net Income Common Stockholders,2156000000.0,2257000000.0,1908000000.0,520000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2156000000.0,2257000000.0,1908000000.0,520000000.0
Minority Interests,-172000000.0,-107000000.0,-12000000.0,0.0
Net Income Including Noncontrolling Interests,2329000000.0,2365000000.0,1920000000.0,520000000.0
Net Income Continuous Operations,2329000000.0,2366000000.0,1921000000.0,521000000.0
Tax Provision,1167000000.0,391000000.0,209000000.0,221000000.0
Pretax Income,3496000000.0,2757000000.0,2130000000.0,742000000.0
Other Non Operating Income Expenses,-493000000.0,-300000000.0,397000000.0,280000000.0
Special Income Charges,-158000000.0,-813000000.0,-499000000.0,-396000000.0
Other Special Charges,-19000000.0,121000000.0,-1086000000.0,15000000.0
Write Off,177000000.0,692000000.0,1585000000.0,2000000.0
Restructuring And Mergern Acquisition,,,,379000000.0
Net Non Operating Interest Income Expense,-403000000.0,-283000000.0,-79000000.0,-68000000.0
Interest Expense Non Operating,498000000.0,303000000.0,83000000.0,71000000.0
Interest Income Non Operating,95000000.0,20000000.0,4000000.0,3000000.0
Operating Income,4759000000.0,3793000000.0,2607000000.0,903000000.0
Operating Expense,10989000000.0,9767000000.0,9081000000.0,8201000000.0
Other Operating Expenses,1462000000.0,1071000000.0,952000000.0,1591000000.0
Depreciation And Amortization In Income Statement,454000000.0,491000000.0,481000000.0,416000000.0
Depreciation Income Statement,454000000.0,491000000.0,481000000.0,416000000.0
Selling General And Administration,2839000000.0,2500000000.0,2092000000.0,958000000.0
General And Administrative Expense,2839000000.0,2500000000.0,2092000000.0,958000000.0
Rent And Landing Fees,349000000.0,326000000.0,343000000.0,371000000.0
Gross Profit,15748000000.0,13560000000.0,11688000000.0,9104000000.0
Cost Of Revenue,132365000000.0,132775000000.0,114161000000.0,96738000000.0
Total Revenue,148113000000.0,146336000000.0,125850000000.0,105843000000.0
Operating Revenue,148113000000.0,146336000000.0,125850000000.0,105843000000.0
